Business Name,Business ID,Review ID,Review Text,Review Rating,Review Time
The Hollow Bar & Kitchen,UisT9M4vbDeh2N3PtWQGkg,SUoau9yTtooXc28owct0Pg,I will start out by saying the staff I had contact with for booking the reservation was super friendly and helpful. I will also say this was not a typical...,2,2020-01-03 13:16:45
The Hollow Bar & Kitchen,UisT9M4vbDeh2N3PtWQGkg,xoHmnuq9MKmunlU8nMk5Sw,My team and I went to the @thehollowalbany for dinner on December 11th and they were out of mussels...it was the only thing I really wanted and the reason I...,5,2020-01-01 12:05:13
Susie's,d8SwzWBDymz1KByNdvy5kA,jOi-OzEES5SNgE-qxRFTzg,"Loveeee Suzie's for all its dingy, friendly, diveyness. Super nice bartenders. Feels like I'm drinking in my friend's parents' basement, which might not...",5,2020-03-04 16:49:47
Susie's,d8SwzWBDymz1KByNdvy5kA,_2WjLfJq5h8vkCVDxyDJJw,"When it comes to going to bars, this is where I usually end up at the end of the night. It's a dive bar, and my favorite one at that. All of the bartenders...",5,2018-12-31 02:45:40
Susie's,d8SwzWBDymz1KByNdvy5kA,_vIWxhUschh-VyrkvwmbJw,"Susie's gets 5 out of 5 starts for being just about as divey as a bar can get. If you're expecting to go here and have a weird AF time, you will not be...",5,2018-12-25 08:14:23
Dove + Deer,SC7INlXxR362yDVuq8XukA,-QiQ2Yxvd5QrQxQRix7BJQ,"I have been at Dove + Deer twice and have fallen in love with the place. A quaint and cozy environment, perfect for dinner with friends or partner.

The...",5,2020-01-19 13:57:01
Dove + Deer,SC7INlXxR362yDVuq8XukA,92Nhg-eanfRTQx7P0zaiUQ,"Dove + Deer is a very trendy spot with a cool dimly lit ambiance and equally trendy menu. 

Ambiance- I loved the ambiance. It's casual but also boujee...",4,2020-02-23 19:11:36
Dove + Deer,SC7INlXxR362yDVuq8XukA,0XbXP1H5XUOBCIy3RMX30Q,"My friend and I came here as we are on a mission to find one new spot to try, every week. I think that plan is going to be disrupted as we will be back...",5,2020-03-19 05:53:29
Lost & Found,ND8zhyVnqrOTtfeKAE1Y3g,Bz89eTBv24S6VNXxnBrf9Q,"YUM!

I could stop there, but I won't. 

I've had this place on my radar for a while and finally made it last night!

Let's start with the food. Eclectic,...",5,2020-03-01 10:14:40
Lost & Found,ND8zhyVnqrOTtfeKAE1Y3g,NeHk2Eagkw5DjF8899geDw,"I swung by Lost & Found on the way to an event at Nine Pin across the street, but since I had two beers at the bar and two snacks I'm a legit reviewer. The...",4,2019-11-19 18:12:20
Lost & Found,ND8zhyVnqrOTtfeKAE1Y3g,3TqonA4Uwkdy3PM-4gqwbw,"I had my mind set on these carbonara fries for weeks. I wanted to love this place, but sadly I did not.  

We came in on a Friday night and were seated...",3,2019-10-27 16:18:01
The Excelsior Pub,e8Mh6IJNZOW2yUqfr83xcg,YxcLFoRxy1YN_oUeLDOgrg,"I love New York.
I love playing pinball.
I love The Excelsior Pub.

It's as simple as that. 

The Excelsior Pub is Jason's love letter to all things New...",5,2019-03-19 20:28:44
The Excelsior Pub,e8Mh6IJNZOW2yUqfr83xcg,Xe7BDMug9JMTtejqSxITgQ,"The Excelsior Pub is awesome. 

Their obvious twist ""all New York​ all the time"", is a great idea, makes them unique, and adds to their appeal. But it can...",4,2019-03-06 05:00:51
The Excelsior Pub,e8Mh6IJNZOW2yUqfr83xcg,PvWt5eNJ47mm_ZhPRd58SA,I was told by a friend that Excelsior Pub would have a large selection of New York State whiskeys and bourbons. I don't know if it's the absolute best in...,4,2019-09-02 17:56:48
The Bishop,CSqytZ7zZDhM22Pl6393YA,2eU1uVZqpHHs0hiOdSkblg,Wow great lunch! Beautiful location. Nice staff. Such a wonderful upgrade from Merry Monk (the previous occupants of this location). My only concern is the...,5,2020-01-16 17:08:24
The Bishop,CSqytZ7zZDhM22Pl6393YA,Ozb74_l-7qZG3fTX81jgGA,"But first, brunch.

I finally made it to The Bishop for their brunch menu over the weekend, and it did not disappoint! They serve brunch on Saturdays and...",4,2020-03-02 23:59:54
The Bishop,CSqytZ7zZDhM22Pl6393YA,wS-CNXhqyiy4yOOkBNPB7w,"I've been to The Bishop before. Once again, we had a fairly nice meal. This was suppose to be the afternoon of the Daytona 500. My husband wanted to go to a...",3,2020-02-17 10:57:19
City Line Bar and Grill,goRzcDmHBBEJoQ2i5U_ulw,MvO6SuXOWpXPhz3iw_uxwQ,"One of my favorite places to eat and drink in upstate NY.
Large space, outdoor space, always busy, but not too busy, and a good mix of business...",5,2020-03-12 03:34:06
City Line Bar and Grill,goRzcDmHBBEJoQ2i5U_ulw,aYmU3JhUW-rv9helh1RwCA,"Let me start by saying that the overall experience was great! From the attentive service to the menu selections and the atmosphere, all were memorable. 
We...",4,2019-11-17 20:07:04
City Line Bar and Grill,goRzcDmHBBEJoQ2i5U_ulw,xfidFZi4sMpdhvo1Hbcfmg,"I ordered lunch from here one day through Grubhub while staying in NY.  I ordered the Rueben sandwich with fries.  It was very good, but nothing to rave...",3,2020-04-01 19:11:13
Waterworks Pub,CzfqowTGOa55GM41RWo6bQ,O4AH-Yc4f1SjMueWaucRpQ,So much fun! Came here with two friends and we had a blast. The drinks weren't overpriced and the music was fun. I love how there's multiple floors because...,5,2020-02-08 14:37:14
Waterworks Pub,CzfqowTGOa55GM41RWo6bQ,_f7saHMM0SFB-_fun6JudA,"Five stars for a place you can go, be yourself, and have a great time.

I am actually shocked I haven't reviewed here. I started coming here when I was 21...",5,2019-04-17 12:27:46
Waterworks Pub,CzfqowTGOa55GM41RWo6bQ,a5Vz3S5cVpuSrh9GZwmKmQ,"Waterworks offers a fair bit for the LGBTQIA+ Community. From meeting new people to a host of events, including drag shows with both local girls and...",4,2019-05-21 07:44:24
Palais Royale,lIjMG2l6lp8apFpBVcItug,dwhwhc7MCuP19sRWGGS0UA,Diveyest dive dive of all the dives. So much history. You either get it or gtfo. Halfway decent selection of craft. Lots of domestic bottles. Late night...,5,2019-12-14 22:36:46
Palais Royale,lIjMG2l6lp8apFpBVcItug,wJSJNhnBcnWlyNbPZO1EiQ,"Pretty much all you will ever need in a dive bar with the added bonus of having some non-terrible beer options.

Do they have cheap lagers in cans? Yep.

Do...",5,2018-09-10 16:21:34
Palais Royale,lIjMG2l6lp8apFpBVcItug,-VCVYRfxQcAmmZX5QbX_xg,"As the red neon light gleams through the wooden bar table, you look around for a second and take a seat. As soon as you take seat, you feel at ease. There's...",5,2016-12-27 19:04:51
Tipsy Moose Tap & Tavern,GlQM1NI2yjux9jS6OSlSMw,4HNrE6hqQLIcUdJ8oZenpg,"This is my favorite place to get American food in the capital region. Their Mac and cheese is their best dish, in my opinion better than Druthers mac and...",5,2020-01-15 14:35:04
Tipsy Moose Tap & Tavern,GlQM1NI2yjux9jS6OSlSMw,x6VzXgYgxJi0zCwEMaKYxw,"The food here was great!! Can't wait to go back for the wings... definitely some of the best wings around. 

I was told to try out their Bloody Mary (bloody...",3,2020-01-14 19:36:00
Tipsy Moose Tap & Tavern,GlQM1NI2yjux9jS6OSlSMw,yfTthoy2nhSDKpIydTNgvg,Was all set for brunch but their brunch time ends at 2... earlier I had decided on egg Benedict and mac n cheese flight.. Reached here at 3 so I had to...,4,2019-12-22 13:02:43
Savoy Taproom,UKGK9Ie_VuAf9_mhtxWNDQ,shIZwtFZ6GIMt5V_VpNeZg,"This is literally one of my favorite places in upstate New York to eat and drink at. 

Live DJs on the weekends and at night, amazing brunch, fresh in...",5,2020-03-27 05:25:35
Savoy Taproom,UKGK9Ie_VuAf9_mhtxWNDQ,LsJnNj60_fhwSUgCLs1wMg,"Poor service, poor food.

The bartender squirted the lemon from her drink in my eye and instead of simply apologizing she said ""oh... did I squirt you in...",1,2020-02-22 19:20:52
Savoy Taproom,UKGK9Ie_VuAf9_mhtxWNDQ,chdS8NfKhODHO86brkT4hQ,"Ugh, their brunch is so freaking amazing. I went yesterday (Sunday) morning after getting off a 10-hour night shift and it was everything I wanted.  

The...",5,2020-02-03 08:35:38
Beer Bones Taproom,cSeRgLnKTPBOhcjo6g0H1Q,70pnG4ucpfv9x31SjWgmBg,"Love beer bones!! This is a fairly small, bare-but-warm type place that always has an amazing selection of different beers. What I especially love is how...",5,2019-05-17 08:53:25
Beer Bones Taproom,cSeRgLnKTPBOhcjo6g0H1Q,8VblqjrVDQUNe4tqIX11aA,"An ever rotating menu of roughly 12-14 craft brews keeps me returning regularly to this comfortable, clean spot smack in the midst of Newton Plaza. They...",4,2020-02-22 17:43:25
Beer Bones Taproom,cSeRgLnKTPBOhcjo6g0H1Q,K1AMfh7OPkLA7cpa_rEh3A,I'm a fan and will be back! Their tap selection wasn't as impressive as I had hoped for but what I chose was delish! I was super impressed with their...,4,2019-06-11 08:34:37
Oh Bar,yegqQSId92uUOLMptWedXg,SvKB6_bEmJIQsUMXDLalVw,"Solid spot that I guess is no longer a gay bar? Regardless, still a very chill place to meet up for drinks with friends. There's an outdoor area and a pool...",4,2020-02-11 18:13:15
Oh Bar,yegqQSId92uUOLMptWedXg,0dPebN35hr4qtRdZLBvpug,"Came to play pool on a Friday night! Not a full sized table, but the people playing were kind and respectful of switching games and letting others play!...",4,2019-05-28 10:20:27
Oh Bar,yegqQSId92uUOLMptWedXg,aAcJsEe9I4mi6vVADLiFZg,"I've been coming here for years. From the friendly staff, reasonable prices, to the amazing patio it is a great place to go. While it is considered by...",4,2018-12-31 02:38:27
McGeary's,PvDyPz9uecPrFy9maiqhmw,78_oDd31y6N10RRn2QLbWA,Gaby is awesome!!! Made our late night bar crawl great. Food was better than I was expecting for a bar at 11 PM too - try the raspberry with the mozz sticks!,5,2020-01-30 21:06:22
McGeary's,PvDyPz9uecPrFy9maiqhmw,nXaMPt2IFG_QKaev4cNszA,This is a Buffalo Bills backers bar. I am a huge Bills fan and I am so glad that McGeary's is host to all of my fellow backers. For this reason alone it...,3,2019-12-11 08:36:09
McGeary's,PvDyPz9uecPrFy9maiqhmw,IrHb975cxHG7H0EBPi7RIQ,"Typical American-Irish bar... Eclectic decor, bar, good menu and good prices and a few tipsy people. Pinball, electric darts, modern jukebox, ATM and live...",4,2019-11-30 15:44:23
Ralph's Tavern,qTK8duK8uJ3k1OgUv8XIpA,tzlNrE8av3ceclw0NXNqsw,Wow - I eat a lot of homemade Italian food but my first time at Ralph's was a happy find! Arrived late and sat on resturant side - Shannon was the server...,4,2019-11-03 10:08:18
Ralph's Tavern,qTK8duK8uJ3k1OgUv8XIpA,m63ql3WOM3jEMvZVQhrP4A,"It's official. I've become​ a ​super fan of Ralph's. But that adoration comes with some caveats.

Those caveats being I'm most enthralled with their pizza...",5,2019-10-28 13:48:58
Ralph's Tavern,qTK8duK8uJ3k1OgUv8XIpA,SuTnmYL-jicZ3Btc8U0mLg,I love Ralph's. It's the perfect Quintessential American pub/restaurant. Simple food at simple prices. I can't say I've ever had a bad meal there. It's a...,4,2020-04-11 13:21:20
Wolff's Biergarten,l4tYS_3SVYpk9yPOCHR0TA,fIIhRGmb2wznIvqVS9twoQ,"Great feel, love the atmosphere and some of the best bratwurst and burgers you can ever taste. If there was ever a place to get good food with a good drinks...",5,2019-12-02 10:01:14
Wolff's Biergarten,l4tYS_3SVYpk9yPOCHR0TA,SDcSr3X2VvPLc9F_QTf9HQ,Yeahhh not so good. Its not a Biergarten in the traditional sense and the peanut shells on the floor make it a cheap roadhouse.  Young people meeting or...,3,2020-03-15 15:03:29
Wolff's Biergarten,l4tYS_3SVYpk9yPOCHR0TA,V0oj1cocPPpn8MQqRFIwKw,"This is the type of laid back casual Biergarten full of locals and the younger crowd. Peanut shells on the floor, with bar seating, tables seating and high...",4,2019-05-29 18:45:05
The Shaker and Vine,7J6thv7y-4flyO2hl4YLfw,JUwcL9jjjoGjsLUO39bQOg,"For sure the best place to grab a drink in Schenectady! Even though I can't speak to the quality of actual meals, the drinks selection and dessert selection...",5,2020-03-20 21:51:10
The Shaker and Vine,7J6thv7y-4flyO2hl4YLfw,Yw0WPS40xMFsaSxXJ2FdYQ,I really wanted to give this place a good review because I heard good things and loved the concept! But I have to say our service was incredibly...,2,2020-03-08 14:36:56
The Shaker and Vine,7J6thv7y-4flyO2hl4YLfw,WGtG5xwGfYwxT9JAKK74qw,It's been over seven months since we first visited Shaker and Vine and it appears that the change in seasons has not hurt them one bit.  For a Thursday...,4,2020-02-01 19:36:07
Franklin Alley Social Club,erwC9m4U5ID0G4jPNAjZHg,-bVm43bTDbvpHav45XtoWg,"This place is cute and super trendy. If you want to have a good conversation, rethink that as the music will make it hard to hear and this is more conducive...",3,2019-08-14 09:17:47
Franklin Alley Social Club,erwC9m4U5ID0G4jPNAjZHg,0yavZjOu2OJ-_zOT0sfqxw,"Super cool bar! My husband and I enjoyed the unique drinks at the bar, including the pickle back shot and many different types of margaritas. We also...",5,2020-02-16 10:11:01
Franklin Alley Social Club,erwC9m4U5ID0G4jPNAjZHg,aAfMiW0pB364nZq6q-ZGGA,"I LOVE THIS PLACE!!

First off, there are flamingoes EVERYWHERE. Admittedly, the ubiquitousness of my beloved awkward pink bird was a great start, but the...",5,2019-05-17 08:43:52
Skyloft,Ewhr3FYclsQ4RgQA1gGTYQ,2-JYcGBkIKxkgVQkvpAftw,What a disappointment!  I booked tickets for my husband and I to see the Marshall Tucker Band at this new venue on the second floor of the Crossgates Mall....,1,2019-11-07 07:30:10
Skyloft,Ewhr3FYclsQ4RgQA1gGTYQ,5ls7F5iSVm5leirD23CkBQ,"I was deeply skeptical about a concert venue at the mall, but was pleasantly surprised when going to see my grail band, X, this past summer. I went by for a...",4,2019-10-07 18:01:54
Skyloft,Ewhr3FYclsQ4RgQA1gGTYQ,m7cbp-oh0AHiXyPYs3rXDg,"This review is only for the live music venue. 
I was very happy to see such good beer on tap with amazing music in such an easily accessible spot! 
I never...",4,2019-05-13 15:58:46
The Olde English,7tENJVXzZcK_5SNiVzIE1w,04eoMSgA_jw-FdJvJi3cqQ,I'm honestly shocked by the poor reviews. I came in here with two friends for a bday brunch and the food was amazing. I have zero complaints about the...,5,2020-03-05 09:37:25
The Olde English,7tENJVXzZcK_5SNiVzIE1w,LVHLsSksadZlTCy09-PI2g,"The following review is strictly based on their 2019 Downtown Albany Restaurant Week menu, which was $25 for an appetizer, entree and dessert. 

For...",3,2019-04-23 06:26:51
The Olde English,7tENJVXzZcK_5SNiVzIE1w,eeStWF1TtUx_5cqbI07bOg,"I am going to give a 3.5-4 stars for my night out here, although i wasn't much of a fan of my meal. 

I really love the atmosphere here and the beer...",4,2019-02-14 05:43:05
Vivian's Lounge,vN9aJJh8xbE70Cy7qMJG1A,RKhokffnCK9Gq4i-waR4JA,"They were doIng karaoke the night that I went but it was fun. Small place, just what I was looking for and the ladies behind the bar were extremely nice....",5,2019-12-01 12:18:15
Vivian's Lounge,vN9aJJh8xbE70Cy7qMJG1A,SRPGHRrbqAvDlST_tsk_AA,Great place for dancin' and hangin' out.  My business associate and I visited for a nightcap and stayed quite a while...big fun with folks who attitude is...,5,2019-04-08 15:41:41
Vivian's Lounge,vN9aJJh8xbE70Cy7qMJG1A,dqa7W9JFwoTj3CSHH3KHOg,"Awesome music, drinks and atmosphere! Very sweet owner who welcomes ALL!  COME CHECK IT OUT! NICE NIGHT OUT.",5,2016-09-30 16:30:07
The Allen Street Pub,30Z2f7EFFflhEt3TGg_dvA,bUKMSyi8N5IFIbeKUjdwWw,"You know what's great?  Suspenders.  Bear with me...

I and my colleagues at TNDC have spent quite a few Thursdays and Saturdays in this fine establishment....",5,2018-09-12 09:33:58
The Allen Street Pub,30Z2f7EFFflhEt3TGg_dvA,cMpEVaDKHjxtnjv-9Z9daQ,"Amazing bar, great beer selection,  great bar foods!!!  Cask beer?  What else can you ask for?",5,2019-03-13 19:40:17
The Allen Street Pub,30Z2f7EFFflhEt3TGg_dvA,CD2DV2usM5ZfeC1883lFrA,"I stopped into The Allen Street Pub for the first time tonight and it felt like a homecoming.

There is no way of writing this review without at least...",4,2015-08-05 18:18:40
Fuze Box,SgJsVmML23tHFzXrnEDo_w,iNvTmJGFCFAbKci2Idg-2w,"Fuzebox is one of those places that's great to head out to if you want to dance with friends, but you really don't want to put too much thought into how you...",5,2013-01-15 12:51:50
Fuze Box,SgJsVmML23tHFzXrnEDo_w,e7JNtIUYKlj05hf8KCjZRg,"Okay, maybe we came here on an off night, but this place is just weird. You enter and there's a smalll brightly lit bar area, but if you go to the back...",2,2020-02-09 21:53:13
Fuze Box,SgJsVmML23tHFzXrnEDo_w,qPNW8JSmb2V47bEFclVUqg,"This place is just the worst kind of hipster, scenester, faux, wish- we- were ""cool,"" BS bar. It's small, cramped, ridiculous, smelly, and trying WAY too...",1,2019-05-16 13:55:55
Lionheart Pub,rdixQpOqq9X0qdmFbIlxzw,ZCSN9146VjCqt6YjbDyRWw,"Solid place to grab drinks with friends! A lot of different age ranges, so this seems to be a local hangout for all residents of Albany. The staff is super...",5,2020-02-09 21:57:25
Lionheart Pub,rdixQpOqq9X0qdmFbIlxzw,JxkCvpeVboTrycET0rckFg,This place is my Cheers. The stale smell of beer and warm popcorn haven't changed since I frequented back in 2010. I usually visit at Happy Hour and the...,4,2019-12-03 12:28:30
Lionheart Pub,rdixQpOqq9X0qdmFbIlxzw,5Uj6CFZgoyeXQw43SOePeQ,"Lionheart is the go-to place for a good time, whether a Tuesday at 7 or a Saturday at 11. I live within walking distance, and it's always a reliable place...",5,2019-01-16 11:44:17
The Upper Room,ByZCI_0KWtHfvGsKOa69_A,MTMrxMG_xu-E4RBEJF5EUg,"I had so much fun seeing Rumours, a Fleetwood Mac cover band, on Saturday. I walked into Pearl St. Pub and a sign directed me upstairs to the Upper Room. On...",4,2016-10-24 11:57:40
The Upper Room,ByZCI_0KWtHfvGsKOa69_A,P_9W3OTT4seLNxPP1A-26g,Please change your coat check out people! (I don't know thier names I was told Kim and Soyna probably not right) I have never had such a problem trying to...,1,2018-04-30 08:51:00
The Upper Room,ByZCI_0KWtHfvGsKOa69_A,rZXa8ctWzx1wCepboicRWQ,I've been waiting for a club like this in Albany for a long time. Where else in Albany can you see national and regional rock and blues acts. The room is...,5,2017-12-09 10:35:54
Emporium Farm Brewery,zjTkr5j9yEE0zPvDDvHxww,KKgeVGIy3iqNF-BmDRTbhw,So let's start with them opening 5 hours before the posted time for us just because we were in the Homebrew emporium and asked about the brewery.  Roger...,5,2019-09-21 11:17:35
Emporium Farm Brewery,zjTkr5j9yEE0zPvDDvHxww,oTPDvsCDpX2A_zn0dmBvGw,"My husband had been buying brewing supplies here since his obsession began, but we just finally had a chance to check out the new tasting room. Guess who...",5,2019-04-07 16:21:01
Emporium Farm Brewery,zjTkr5j9yEE0zPvDDvHxww,qEnm43j8_xCcaYoBwQ6mQw,We found out about this place from passing it everytime we get brewing supplies next door. Last night we decided that we wanted to go grab a quick local...,5,2019-01-26 07:00:56
Black and Blue Steak and Crab,EUA2-TFs09u3W9EEoXeW6g,js1WwRCbANlKbFU0LI1fMg,"Came for dinner and was surprised to find it pretty lively, considering covid and all. This place is fairly large and would be a great location for a...",4,2020-03-15 13:37:06
Black and Blue Steak and Crab,EUA2-TFs09u3W9EEoXeW6g,xopIKjYccLdZoUiH05hYug,"This was our second time dining at Black and Blue
The place is beautiful and the lighting is soft which makes a beautiful atmosphere however it's awful for...",3,2020-01-25 09:07:48
Black and Blue Steak and Crab,EUA2-TFs09u3W9EEoXeW6g,cOZ96nfEtdGh5ii4Dce9aA,"We were traveling six hours to Albany for the Highland Games. Trip Advisor reviews were on point, this restaurant was wonderful.   Beautiful inside with...",5,2019-11-04 17:52:46
The Point Restaurant and Lounge,Ye38k8cWAn0F-CtkMSnYsw,fRfWAoh6ICPeLFoWHY8NmA,"We had been to The Point on one other occasion with a party of 16 three years ago. It was very good food & service. But in all fairness, it's hard to really...",5,2020-01-08 07:09:16
The Point Restaurant and Lounge,Ye38k8cWAn0F-CtkMSnYsw,jDALTgWzgicaFcI_9-8qFA,"Had the stacked eggplant, drowning in sauce but still tasted good.

Brought the wrong drink out, but quickly fixed that.

Ordered a pizza, it was a flat...",3,2019-10-18 18:22:19
The Point Restaurant and Lounge,Ye38k8cWAn0F-CtkMSnYsw,gzjkc1_7Os0HnTfeD7DDFg,Possibly the worst restaurant in Albany. Food is never good. Service lacks luster.,2,2019-11-15 09:06:28
Across The Street Pub,2YVy8k9NAZ0vMlrC8xyq8A,949JNU4MU5CIBIs9ggCF4g,"I was going to a party in the neighborhood and decided I wanted to bring wings, so I headed to Yelp to see what was nearby. Across the Street Pub came up...",5,2020-01-20 19:04:43
Across The Street Pub,2YVy8k9NAZ0vMlrC8xyq8A,FTAeXp7M61E2NHOMypX5XA,ATSP was located right next to where my fiancé and I were staying in Albany so we decided to check it out. Definitely a local spot in Albany for sure. As...,4,2019-05-10 06:54:02
Across The Street Pub,2YVy8k9NAZ0vMlrC8xyq8A,eP9OoqSNJeyuCv4NbvMyYg,Really great wings I get them extra crispy. Hot Garlic Parm is our go to. I also like Hot and the Not Responsible is good it's not just straight up heat it...,4,2019-11-23 10:29:46
288 Lark Wine & Tap,EK1IzMI79YpDy6h7zxsNVw,CQLGdFKlmmzowsTUbkhUSg,"Came here with a few colleagues some days ago looking for a nice wine spot. This place is very nice, cozy and intimate. The wine and beers are great. Staff...",5,2020-01-29 18:30:55
288 Lark Wine & Tap,EK1IzMI79YpDy6h7zxsNVw,KzpLpylD62pwOIWnbX3oag,"288 Lark is an attempt at elevated Italian-American fare with some creativity thrown in for good measure, and it succeeds. There are far too many ""me too""...",4,2019-12-17 12:47:20
288 Lark Wine & Tap,EK1IzMI79YpDy6h7zxsNVw,J_9JIB9v1aJdIpPtfqNjnA,"Traveled to Albany last week for the first time and was so happy to have discovered this hidden gem! The owner, bartender and wait staff were incredibly...",5,2020-02-15 09:34:34
The Tavern,Q3J2Q54xJuyZVEljkkTC8w,2kfgPaqY0PR5YpRDtHuzjA,We stop here whenever in the area. I love the fried mozzarella with raspberry sauce. The lasagna with meat sauce is also great. I also like that they have...,4,2019-08-14 13:13:32
The Tavern,Q3J2Q54xJuyZVEljkkTC8w,7AgzUtxV5u-XkaKpOYW2ww,They have seasonal drinks and the red velvet hot chocolate hits the spot on a cold day! Even better if you sit by the fireplace to drink it!,4,2019-12-04 13:47:37
The Tavern,Q3J2Q54xJuyZVEljkkTC8w,36WuU7VWxT3hORl8FOBGWA,"Met a friend before the theater for a quick bite. Was excellent. Was much nicer than expected. 
Menu is limited but something for all tastes a desires....",4,2018-08-02 19:48:07
Maggie McFly's,F5nU6c4s1-Np85ldma28Ww,OXbYi9radKWdrZ7AG5zi0A,"We went to Maggie McFly's on a whim last Saturday when we were hanging out at Crossgates.  We haven't been to the mall in ages, and when we walked past...",5,2020-02-09 17:23:10
Maggie McFly's,F5nU6c4s1-Np85ldma28Ww,f_zv24-KfYZABnUMlAUf5A,"I like this spot, I usually stop here after spending time/money at Crossgates.  This most recent time I was somewhat disappointed however.

Now, the...",3,2020-03-08 05:15:50
Maggie McFly's,F5nU6c4s1-Np85ldma28Ww,-1FVMgVp03r_zGw-fOQqLQ,Stopped in for lunch on a Sunday. The restaurant was moderately busy but we were seated right away. We ordered the Parmesan Truffle Wings and the Margherita...,3,2020-01-12 10:18:49
Pearl Street Pub,A2fXWv7IXXPzBFaPJDuxEg,pahtGkHuK5laUt5LtcT0rQ,Came here at night for NYE. We stayed downstairs and danced. It was fun because it wasn't too crowded. The DJs were good and helped ring in the new year....,4,2020-01-01 17:32:27
Pearl Street Pub,A2fXWv7IXXPzBFaPJDuxEg,forWQhXnvxaTV_rNDQrzNA,"I thought it was very good here. Wednesday nights seem to be dead! Being a traveler this doesn't bother me!

The Cesar salad was very good and the smoked...",4,2019-08-28 19:59:29
Pearl Street Pub,A2fXWv7IXXPzBFaPJDuxEg,_VLOeLcg8GWuhqQiTZux-w,"This was a pleasant surprise. I went to a private gathering.

They ordered wings medium and garlic parm buffalo ranch YES together and they were good and so...",4,2018-11-15 08:36:32
The Washington Tavern,xatQD-SvNm9_bd15YlOXVA,m-aVt0ZwwNoNh7gfm3sdaA,I'd heard that WT's was a good spot for beer and wings from some of my co-workers who are relatively recent college grads so I was forewarned about the...,5,2015-09-07 13:42:37
The Washington Tavern,xatQD-SvNm9_bd15YlOXVA,T5Fbbl7uqUD0sRe0aKiWBg,"Terrible service. Unhelpful and rude staff. Not worth coming here.

Crowded and dirty. Bad food.",1,2019-01-22 23:48:11
The Washington Tavern,xatQD-SvNm9_bd15YlOXVA,JeY2zOzihKHyfIR7BIwTGQ,"This is not the same Washington Tavern of years ago. The bar is severely lacking supplies: no Jack Daniels, no Jameson, etc. At least 10 beer taps have no...",1,2019-08-10 12:37:44
Rocks,_n3lmDBWMrqU8ZfYHZgUbw,pJa3yisMDJe3BGNEW0FU3g,"I love the gay bars in Albany. If i am going out, it usually Rocks and Waterworks.

The music is always upbeat, the people and bartenders are extremely...",4,2019-02-05 10:22:33
Rocks,_n3lmDBWMrqU8ZfYHZgUbw,OfnlFnF4Ueeh63UcTxG3qw,"Great gay bar in Albany. Has a sense of community you don't find in many places these days. Always has special events, and the prices are fair, and drinks...",5,2018-09-16 07:31:56
